arabic,german,root,frequency_rank,transliteration,masdar,masdar_transliteration,masdar_german
دَاخِلٌ,Inneres,د-خ-ل,1736,dāḫil,,,
خَارِجٌ,Äußeres,خ-ر-ج,1737,ḫāriǧ,,,
اِسْتِقْلَالٌ,Unabhängigkeit,ق-ل-ل,1738,istiqlāl,,,
مُطَالَبَةٌ,Forderung,ط-ل-ب,1739,muṭālaba,,,
نِيَّةٌ,Absicht,ن-و-ي,1740,niyya,,,
حَاسُوبٌ,Computer,ح-س-ب,1741,ḥāsūb,,,
مَعْلُومَاتٌ,Informationen,ع-ل-م,1742,maʿlūmāt,,,
فَلَكٌ,Himmelssphäre,ف-ل-ك,1743,falak,,,
خِدْمَةٌ,Dienst,خ-د-م,1744,ḫidma,,,
مَقَالَةٌ,Artikel,ق-و-ل,1745,maqāla,,,
مِثَالٌ,Beispiel,م-ث-ل,1746,miṯāl,,,
مَجْمُوعَةٌ,Sammlung / Gruppe,ج-م-ع,1747,maǧmūʿa,,,
نَشَاطٌ,Aktivität,ن-ش-ط,1748,našāṭ,,,
إِقْلِيمٌ,Region,ق-ل-م,1749,ʾiqlīm,,,
حِصْنٌ,Festung,ح-ص-ن,1750,ḥiṣn,,,
ثَمَرَةٌ,Frucht,ث-م-ر,1751,ṯamara,,,
غُصْنٌ,Zweig,غ-ص-ن,1752,ġuṣn,,,
وَرَقٌ,Blatt / Papier,و-ر-ق,1753,waraq,,,
تَلٌّ,Hügel,ت-ل-ل,1754,tall,,,
تُرْبَةٌ,Erde / Boden,ت-ر-ب,1755,turba,,,
خَرِيطَةٌ,Landkarte,خ-ر-ط,1756,ḫarīṭa,,,
أُغْنِيَةٌ,Lied,غ-ن-ي,1757,uġniya,,,
نَغْمَةٌ,Melodie,ن-غ-م,1758,naġma,,,
ضَجِيجٌ,Lärm,ض-ج-ج,1759,ḍaǧīǧ,,,
هُدُوءٌ,Ruhe,ه-د-أ,1760,hudūʾ,,,
صَرْخَةٌ,Schrei,ص-ر-خ,1761,ṣarḫa,,,
جِرَاحَةٌ,Wunde,ج-ر-ح,1762,ǧirāḥa,,,
قَدَحٌ,Becher,ق-د-ح,1763,qadaḥ,,,
زِرٌّ,Knopf,ز-ر-ر,1764,zirr,,,
خَيْطٌ,Faden,خ-ي-ط,1765,ḫayṭ,,,
مِقَصٌّ,Schere,ق-ص-ص,1766,miqaṣṣ,,,
حَافِلَةٌ,Bus,ح-ف-ل,1767,ḥāfila,,,
عَطْلَةٌ,Urlaub,ع-ط-ل,1768,ʿuṭla,,,
إِجَازَةٌ,Urlaub / Genehmigung,ج-و-ز,1769,ʾiǧāza,,,
مَوْسِمٌ,Saison,و-س-م,1770,mawsim,,,
جَوْلَةٌ,Tour,ج-و-ل,1771,ǧawla,,,
نُزْهَةٌ,Ausflug,ن-ز-ه,1772,nuzha,,,
جَامِعٌ,Moschee,ج-م-ع,1773,ǧāmiʿ,,,
كَنِيسَةٌ,Kirche,ك-ن-س,1774,kanīsa,,,
مَعْبَدٌ,Tempel,ع-ب-د,1775,maʿbad,,,
حِرْفَةٌ,Beruf / Handwerk,ح-ر-ف,1776,ḥirfa,,,
زَبُونٌ,Kunde,ز-ب-ن,1777,zabūn,,,
صَاحِبٌ,Besitzer,ص-ح-ب,1778,ṣāḥib,,,
زَعِيمٌ,Führer,ز-ع-م,1779,zaʿīm,,,
مَمْلَكَةٌ,Königreich,م-ل-ك,1780,mamlaka,,,
خِلَافَةٌ,Kalifat,خ-ل-ف,1781,ḫilāfa,,,
دُسْتُورٌ,Verfassung,د-س-ت-ر,1782,dustūr,,,
مَرْسُومٌ,Erlass / Dekret,ر-س-م,1783,marsūm,,,
نَثْرٌ,Prosa,ن-ث-ر,1784,naṯr,,,
مَسْرَحِيَّةٌ,Theaterstück,س-ر-ح,1785,masraḥiyya,,,
فِلْمٌ,Film,ف-ل-م,1786,film,,,
مُحَاضَرَةٌ,Vorlesung,ح-ض-ر,1787,muḥāḍara,,,
نَدْوَةٌ,Seminar,ن-د-و,1788,nadwa,,,
مُؤْتَمَرٌ,Konferenz,أ-م-ر,1789,muʾtamar,,,
لِقَاءٌ,Begegnung,ل-ق-ي,1790,liqāʾ,,,
نَشِيدٌ,Hymne,ن-ش-د,1791,našīd,,,
دُخَانٌ,Rauch,د-خ-ن,1792,duḫān,,,
لَهَبٌ,Flamme,ل-ه-ب,1793,lahab,,,
حَرِيقٌ,Brand,ح-ر-ق,1794,ḥarīq,,,
رَمَادٌ,Asche,ر-م-د,1795,ramād,,,
بُخَارٌ,Dampf,ب-خ-ر,1796,buḫār,,,
مَعْدِنٌ,Metall,ع-د-ن,1797,maʿdin,,,
مِنْطَقَةٌ,Gebiet,ن-ط-ق,1798,minṭaqa,,,
أَهَمِّيَّةٌ,Wichtigkeit,ه-م-م,1799,ʾahammiyya,,,
ثَقَافِيٌّ,kulturell,ث-ق-ف,1800,ṯaqāfiyy,,,
اِجْتِمَاعِيٌّ,sozial,ج-م-ع,1801,iǧtimāʿiyy,,,
اِقْتِصَادِيٌّ,wirtschaftlich,ق-ص-د,1802,iqtiṣādiyy,,,
سِيَاسِيٌّ,politisch,س-و-س,1803,siyāsiyy,,,
اِسْتِثْنَائِيٌّ,außergewöhnlich,ث-ن-ي,1804,istiṯnāʾiyy,,,
رَئِيسِيٌّ,hauptsächlich,ر-أ-س,1805,raʾīsiyy,,,
عَالَمِيٌّ,weltweit,ع-ل-م,1806,ʿālamiyy,,,
أَثَرِيٌّ,historisch,أ-ث-ر,1807,ʾaṯariyy,,,
كَاذِبٌ,lügend,ك-ذ-ب,1808,kāḏib,,,
سَاطِعٌ,hell / strahlend,س-ط-ع,1809,sāṭiʿ,,,
صُلْبٌ,hart,ص-ل-ب,1810,ṣulb,,,
سَالِمٌ,unversehrt,س-ل-م,1811,sālim,,,
أَخِيرٌ,letzter,أ-خ-ر,1812,ʾaḫīr,,,
لَاحِقٌ,folgend,ل-ح-ق,1813,lāḥiq,,,
بَاقٍ,übrig,ب-ق-ي,1814,bāqin,,,
تَامٌّ,vollständig,ت-م-م,1815,tāmm,,,
مُثِيرٌ,aufregend,ث-و-ر,1816,muṯīr,,,
مَادِّيٌّ,materiell,م-د-د,1817,māddiyy,,,
مُعْتَدِلٌ,gemäßigt,ع-د-ل,1818,muʿtadil,,,
ظَاهِرٌ,sichtbar,ظ-ه-ر,1819,ẓāhir,,,
مُتَّسِعٌ,weit,و-س-ع,1820,mutassiʿ,,,
مُتَشَابِهٌ,ähnlich,ش-ب-ه,1821,mutašābih,,,
مُتَغَيِّرٌ,veränderlich,غ-ي-ر,1822,mutaġayyir,,,
مُسْتَقِلٌّ,unabhängig,ق-ل-ل,1823,mustaqill,,,
شَامِلٌ,umfassend,ش-م-ل,1824,šāmil,,,
وَافِرٌ,reichlich,و-ف-ر,1825,wāfir,,,
غَزِيرٌ,ergiebig,غ-ز-ر,1826,ġazīr,,,
مَتِينٌ,stabil,م-ت-ن,1827,matīn,,,
رَاسِخٌ,gefestigt,ر-س-خ,1828,rāsiḫ,,,
عَاجِزٌ,unfähig,ع-ج-ز,1829,ʿāǧiz,,,
أُمِّيٌّ,Analphabet / ungebildet,أ-م-م,1830,ʾummiyy,,,
أَوَّلًا,zuerst,أ-و-ل,1831,ʾawwalan,,,
ثَانِيًا,zweitens,ث-ن-ي,1832,ṯāniyan,,,
ثَالِثًا,drittens,ث-ل-ث,1833,ṯāliṯan,,,
رَابِعًا,viertens,ر-ب-ع,1834,rābiʿan,,,
حَالِيًّا,derzeit,ح-و-ل,1835,ḥāliyyan,,,
حَدِيثًا,kürzlich,ح-د-ث,1836,ḥadīṯan,,,
جِدًّا,sehr,ج-د-د,1837,ǧiddan,,,
صَبَاحًا,morgens,ص-ب-ح,1838,ṣabāḥan,,,
يَوْمِيًّا,täglich,ي-و-م,1839,yawmiyyan,,,
قَلِيلًا,wenig,ق-ل-ل,1840,qalīlan,,,
جُزْئِيًّا,teilweise,ج-ز-أ,1841,ǧuzʾiyyan,,,
كُلِّيًّا,völlig,ك-ل-ل,1842,kulliyyan,,,
فِعْلِيًّا,tatsächlich,ف-ع-ل,1843,fiʿliyyan,,,
إِجْمَالِيًّا,insgesamt,ج-م-ل,1844,iǧmāliyyan,,,
بِشَأْنِ,bezüglich,ش-أ-ن,1845,bišaʾni,,,
قُبَالَةَ,gegenüber,ق-ب-ل,1846,qubālata,,,
وَسَطَ,mitten in,و-س-ط,1847,wasaṭa,,,
أَنْفَذَ,ausführen,ن-ف-ذ,1848,ʾanfaḏa,إِنْفَاذٌ,ʾinfāḏ,die Ausführung
أَحَلَّ,erlauben / auflösen,ح-ل-ل,1849,ʾaḥalla,إِحْلَالٌ,ʾiḥlāl,das Erlaubtmachen/die Auflösung
أَخْرَجَ,herausholen / ausführen,خ-ر-ج,1850,ʾaḫraǧa,إِخْرَاجٌ,ʾiḫrāǧ,die Herausnahme/die Ausführung
أَذَاقَ,kosten lassen,ذ-و-ق,1851,ʾaḏāqa,إِذَاقَةٌ,ʾiḏāqa,das Kostenlassen
أَرْضَى,zufriedenstellen,ر-ض-ي,1852,ʾarḍā,إِرْضَاءٌ,ʾirḍāʾ,die Zufriedenstellung
أَسْرَفَ,verschwenden,س-ر-ف,1853,ʾasrafa,إِسْرَافٌ,ʾisrāf,die Verschwendung
أَصَابَ,treffen / richtig liegen,ص-و-ب,1854,ʾaṣāba,إِصَابَةٌ,ʾiṣāba,das Treffen/die Verletzung
أَضَرَّ,schaden,ض-ر-ر,1855,ʾaḍarra,إِضْرَارٌ,ʾiḍrār,die Schädigung
أَطْعَمَ,füttern / speisen,ط-ع-م,1856,ʾaṭʿama,إِطْعَامٌ,ʾiṭʿām,das Füttern/das Speisen
أَعَانَ,helfen,ع-و-ن,1857,ʾaʿāna,إِعَانَةٌ,ʾiʿāna,die Hilfe/die Unterstützung
أَغْرَقَ,ertränken,غ-ر-ق,1858,ʾaġraqa,إِغْرَاقٌ,ʾiġrāq,das Ertränken/das Versenken
أَقْنَعَ,überzeugen,ق-ن-ع,1859,ʾaqnaʿa,إِقْنَاعٌ,ʾiqnāʿ,die Überzeugung
أَلْزَمَ,verpflichten,ل-ز-م,1860,ʾalzama,إِلْزَامٌ,ʾilzām,die Verpflichtung
أَمْكَنَ,ermöglichen,م-ك-ن,1861,ʾamkana,إِمْكَانٌ,ʾimkān,die Ermöglichung/die Möglichkeit
أَوْجَعَ,Schmerz zufügen,و-ج-ع,1862,ʾawǧaʿa,إِيجَاعٌ,ʾīǧāʿ,das Schmerzzufügen
أَوْسَعَ,erweitern,و-س-ع,1863,ʾawsaʿa,إِيسَاعٌ,ʾīsāʿ,die Erweiterung
اِحْتَجَّ,argumentieren / einwenden,ح-ج-ج,1864,iḥtaǧǧa,اِحْتِجَاجٌ,iḥtiǧāǧ,der Einwand/das Argumentieren
اِرْتَدَّ,zurückkehren / ablehnen,ر-د-د,1865,irtadda,اِرْتِدَادٌ,irtidād,die Rückwendung/die Ablehnung
اِسْتَبَانَ,klar werden / sich zeigen,ب-ي-ن,1866,istabāna,اِسْتِبَانَةٌ,istibāna,die Klarheit/das Offenbarwerden
اِسْتَحَبَّ,vorziehen,ح-ب-ب,1867,istaḥabba,اِسْتِحْبَابٌ,istiḥbāb,das Vorziehen/die Bevorzugung
اِسْتَرْشَدَ,um Rat bitten,ر-ش-د,1868,istaršada,اِسْتِرْشَادٌ,istiršād,die Bitte um Führung/die Befragung
اِضْطَرَّ,zwingen,ض-ر-ر,1869,iḍṭurra,اِضْطِرَارٌ,iḍṭirār,der Zwang/die Not
اِنْشَغَلَ,beschäftigt sein,ش-غ-ل,1870,inšaġala,اِنْشِغَالٌ,inšiġāl,die Beschäftigung
اِنْجَرَّ,sich hinziehen / entstehen,ج-ر-ر,1871,inǧarra,اِنْجِرَارٌ,inǧirār,das Sich-Hinziehen
اِنْحَصَرَ,beschränkt sein,ح-ص-ر,1872,inḥaṣara,اِنْحِصَارٌ,inḥiṣār,die Beschränkung
اِنْخَفَضَ,sinken / nachlassen,خ-ف-ض,1873,inḫafaḍa,اِنْخِفَاضٌ,inḫifāḍ,das Sinken/die Senkung
اِنْسَاقَ,geleitet werden,س-و-ق,1874,insāqa,اِنْسِيَاقٌ,insiyāq,das Sich-Führen-Lassen
اِنْقَادَ,sich führen lassen,ق-و-د,1875,inqāda,اِنْقِيَادٌ,inqiyād,das Sich-Fügen/die Gefügigkeit
اِنْكَشَفَ,sich enthüllen,ك-ش-ف,1876,inkašafa,اِنْكِشَافٌ,inkišāf,die Enthüllung/das Offenbarwerden
اِنْهَزَمَ,besiegt werden,ه-ز-م,1877,inhazama,اِنْهِزَامٌ,inhizām,die Niederlage
اِهْتَدَى,rechtgeleitet sein,ه-د-ي,1878,ihtadā,اِهْتِدَاءٌ,ihtidāʾ,das Rechtgeleitetsein/die Rechtleitung
تَأَسَّفَ,bedauern / sich entschuldigen,أ-س-ف,1879,taʾassafa,تَأَسُّفٌ,taʾassuf,das Bedauern/die Entschuldigung
تَأَمَّلَ,betrachten / nachdenken,أ-م-ل,1880,taʾammala,تَأَمُّلٌ,taʾammul,die Betrachtung/das Nachdenken
تَبَنَّى,adoptieren / übernehmen,ب-ن-ي,1881,tabannā,تَبَنٍّ,tabannin,die Adoption/die Übernahme
تَبَاهَى,stolz sein,ب-ه-ي,1882,tabāhā,تَبَاهٍ,tabāhin,das Stolzsein/das Prahlen
تَبَرَّعَ,spenden,ب-ر-ع,1883,tabarraʿa,تَبَرُّعٌ,tabarruʿ,das Spenden/die Spende
تَجَاهَلَ,ignorieren / übersehen,ج-ه-ل,1884,taǧāhala,تَجَاهُلٌ,taǧāhul,das Ignorieren/die Gleichgültigkeit
تَجَدَّدَ,sich erneuern,ج-د-د,1885,taǧaddada,تَجَدُّدٌ,taǧaddud,die Erneuerung
تَحَقَّقَ,sich erfüllen / überprüfen,ح-ق-ق,1886,taḥaqqaqa,تَحَقُّقٌ,taḥaqquq,die Verwirklichung/die Überprüfung
تَحَمَّلَ,ertragen / übernehmen,ح-م-ل,1887,taḥammala,تَحَمُّلٌ,taḥammul,das Ertragen/die Übernahme
تَخَطَّى,überschreiten,خ-ط-و,1888,taḫaṭṭā,تَخَطٍّ,taḫaṭṭin,das Überschreiten
تَخَلَّصَ,loswerden,خ-ل-ص,1889,taḫallaṣa,تَخَلُّصٌ,taḫalluṣ,das Loswerden/die Beseitigung
تَدَاوَلَ,verhandeln / austauschen,د-و-ل,1890,tadāwala,تَدَاوُلٌ,tadāwul,das Verhandeln/der Austausch
تَرَدَّدَ,zögern,ر-د-د,1891,taraddada,تَرَدُّدٌ,taraddud,das Zögern/das Schwanken
تَزَوَّجَ,heiraten,ز-و-ج,1892,tazawwaǧa,تَزَوُّجٌ,tazawwuǧ,die Heirat
تَشَارَكَ,gemeinsam etwas tun,ش-ر-ك,1893,tašāraka,تَشَارُكٌ,tašāruk,das Miteinander-Teilen/die Beteiligung
تَشَكَّرَ,sich bedanken,ش-ك-ر,1894,tašakkara,تَشَكُّرٌ,tašakkur,das Sich-Bedanken
تَصَدَّقَ,Almosen geben,ص-د-ق,1895,taṣaddaqa,تَصَدُّقٌ,taṣadduq,das Almosengeben/die Mildtätigkeit
تَصَرَّحَ,öffentlich erklären,ص-ر-ح,1896,taṣarraḥa,تَصَرُّحٌ,taṣarruḥ,das öffentliche Erklären
تَعَبَّدَ,anbeten / fromm dienen,ع-ب-د,1897,taʿabbada,تَعَبُّدٌ,taʿabbud,die Anbetung/die Frömmigkeit
تَعَذَّرَ,unmöglich sein,ع-ذ-ر,1898,taʿaḏḏara,تَعَذُّرٌ,taʿaḏḏur,das Unmöglichsein/die Erschwerung
تَعَمَّدَ,beabsichtigen,ع-م-د,1899,taʿammada,تَعَمُّدٌ,taʿammud,die Absicht/die Vorsätzlichkeit
تَعَمَّقَ,sich vertiefen,ع-م-ق,1900,taʿammaqa,تَعَمُّقٌ,taʿammuq,das Sich-Vertiefen
تَغَذَّى,sich ernähren,غ-ذ-و,1901,taġaḏḏā,تَغَذٍّ,taġaḏḏin,die Ernährung
تَفَاخَرَ,prahlen,ف-خ-ر,1902,tafāḫara,تَفَاخُرٌ,tafāḫur,das Prahlen/die Ruhmsucht
تَفَاوَتَ,sich unterscheiden,ف-و-ت,1903,tafāwata,تَفَاوُتٌ,tafāwut,der Unterschied/die Verschiedenheit
تَكَرَّرَ,sich wiederholen,ك-ر-ر,1904,takarrara,تَكَرُّرٌ,takarrur,die Wiederholung
تَكَوَّنَ,entstehen / bestehen,ك-و-ن,1905,takawwana,تَكَوُّنٌ,takawwun,die Entstehung
تَلَاشَى,verblassen / verschwinden,ل-ش-ي,1906,talāšā,تَلَاشٍ,talāšin,das Verblassen/das Verschwinden
تَهَاوَنَ,vernachlässigen,ه-و-ن,1907,tahāwana,تَهَاوُنٌ,tahāwun,die Nachlässigkeit/die Vernachlässigung
جَاوَزَ,überholen / überschreiten,ج-و-ز,1908,ǧāwaza,مُجَاوَزَةٌ,muǧāwaza,das Überschreiten/der Übergang
حَاسَبَ,abrechnen,ح-س-ب,1909,ḥāsaba,مُحَاسَبَةٌ,muḥāsaba,die Abrechnung
حَجَزَ,reservieren,ح-ج-ز,1910,ḥaǧaza,حَجْزٌ,ḥaǧz,die Reservierung
خَلَّصَ,retten / erlösen,خ-ل-ص,1911,ḫallaṣa,تَخْلِيصٌ,taḫlīṣ,die Rettung/die Erlösung
دَاوَمَ,fortfahren,د-و-م,1912,dāwama,مُدَاوَمَةٌ,mudāwama,das Fortfahren/die Beharrlichkeit
دَبَّرَ,planen / verwalten,د-ب-ر,1913,dabbara,تَدْبِيرٌ,tadbīr,die Planung/die Verwaltung
رَشَّحَ,nominieren,ر-ش-ح,1914,raššaḥa,تَرْشِيحٌ,taršīḥ,die Nominierung
سَمَّى,nennen / benennen,س-م-ي,1915,sammā,تَسْمِيَةٌ,tasmiya,die Benennung
شَخَّصَ,diagnostizieren / bestimmen,ش-خ-ص,1916,šaḫḫaṣa,تَشْخِيصٌ,tašḫīṣ,die Diagnose/die Identifizierung
شَرَّفَ,ehren,ش-ر-ف,1917,šarrafa,تَشْرِيفٌ,tašrīf,die Ehrung
صَرَّحَ,erklären / ankündigen,ص-ر-ح,1918,ṣarraḥa,تَصْرِيحٌ,taṣrīḥ,die Erklärung/die Ankündigung
طَرَّحَ,aufwerfen,ط-ر-ح,1919,ṭarraḥa,طَرْحٌ,ṭarḥ,das Aufwerfen/die Vorlage
عَانَقَ,umarmen,ع-ن-ق,1920,ʿānaqa,مُعَانَقَةٌ,muʿānaqa,die Umarmung
عَاهَدَ,vereinbaren / verpflichten,ع-ه-د,1921,ʿāhada,مُعَاهَدَةٌ,muʿāhada,das Abkommen/die Vereinbarung
قَابَلَ,treffen / vergleichen,ق-ب-ل,1922,qābala,مُقَابَلَةٌ,muqābala,die Begegnung/die Gegenüberstellung
مَارَسَ,ausüben / betreiben,م-ر-س,1923,mārasa,مُمَارَسَةٌ,mumārasa,die Ausübung
مَزَجَ,mischen,م-ز-ج,1924,mazaǧa,مَزْجٌ,mazǧ,die Mischung/das Vermischen
نَتَجَ,hervorbringen,ن-ت-ج,1925,nataǧa,نَتْجٌ,natǧ,das Hervorbringen/das Entstehen
وَرَّثَ,vererben,و-ر-ث,1926,warraṯa,تَوْرِيثٌ,tawrīṯ,die Vererbung
يَئِسَ,verzweifeln,ي-أ-س,1927,yaʾisa,يَأْسٌ,yaʾs,die Verzweiflung/die Hoffnungslosigkeit
أَهْلٌ,Leute / Familie,أ-ه-ل,1928,ʾahl,,,
اِخْتِصَاصٌ,Fachgebiet,خ-ص-ص,1929,iḫtiṣāṣ,,,
اِنْتِظَارٌ,das Warten,ن-ظ-ر,1930,intiẓār,,,
تَعْلِيمٌ,Bildung / Unterricht,ع-ل-م,1931,taʿlīm,,,
تَطْبِيقٌ,Anwendung,ط-ب-ق,1932,taṭbīq,,,
تَفْسِيرٌ,Auslegung,ف-س-ر,1933,tafsīr,,,
جُمْهُورٌ,Publikum,ج-م-ه-ر,1934,ǧumhūr,,,
دِرَاسَةٌ,Studium,د-ر-س,1935,dirāsa,,,
رِعَايَةٌ,Fürsorge / Pflege,ر-ع-ي,1936,riʿāya,,,
سِعْرٌ,Preis,س-ع-ر,1937,siʿr,,,
شَرِيعَةٌ,Glaubensgesetz / Scharia,ش-ر-ع,1938,šarīʿa,,,
عِبَادَةٌ,Gottesdienst / Anbetung,ع-ب-د,1939,ʿibāda,,,
غَلَاءٌ,Teuerung,غ-ل-و,1940,ġalāʾ,,,
كَمِّيَّةٌ,Menge,ك-م-م,1941,kammiyya,,,
نَجَاحٌ,Erfolg,ن-ج-ح,1942,naǧāḥ,,,
هِمَّةٌ,Ehrgeiz,ه-م-م,1943,himma,,,
دَهْرٌ,Zeit / Zeitalter,د-ه-ر,1944,dahr,,,
ذُوقٌ,Geschmack,ذ-و-ق,1945,ḏawq,,,
شُعُورٌ,Gefühl,ش-ع-ر,1946,šuʿūr,,,
ضَحِيَّةٌ,Opfer,ض-ح-ي,1947,ḍaḥiyya,,,
عِبْرَةٌ,Lehre / Ermahnung,ع-ب-ر,1948,ʿibra,,,
كَلَامٌ,Rede / Sprache,ك-ل-م,1949,kalām,,,
مَبْنًى,Gebäude,ب-ن-ي,1950,mabnā,,,
وَطَنٌ,Heimat,و-ط-ن,1951,waṭan,,,
إِصْدَارٌ,Ausgabe / Veröffentlichung,ص-د-ر,1952,ʾiṣdār,,,
اِقْتِصَادٌ,Wirtschaft,ق-ص-د,1953,iqtiṣād,,,
اِعْتِرَاضٌ,Einwand,ع-ر-ض,1954,iʿtirāḍ,,,
اِسْتِعْمَالٌ,Nutzung / Gebrauch,ع-م-ل,1955,istiʿmāl,,,
اِنْتِخَابٌ,Wahl / Auswahl,ن-خ-ب,1956,intiḫāb,,,
مُسْتَشَارٌ,Berater,ش-و-ر,1957,mustašār,,,
مُلَخَّصٌ,Zusammenfassung,ل-خ-ص,1958,mulaḫḫaṣ,,,
عَقِيدَةٌ,Glaubenslehre / Überzeugung,ع-ق-د,1959,ʿaqīda,,,
ثِقَةٌ,Vertrauen,و-ث-ق,1960,ṯiqa,,,
حَمَاسَةٌ,Begeisterung,ح-م-س,1961,ḥamāsa,,,
اِمْتِدَادٌ,Ausdehnung,م-د-د,1962,imtidād,,,
جَرْحٌ,Wunde,ج-ر-ح,1963,ǧarḥ,,,
عُمْرٌ,Lebensalter,ع-م-ر,1964,ʿumr,,,
لُطْفٌ,Güte / Milde,ل-ط-ف,1965,luṭf,,,
مُحَاوَلَةٌ,Versuch,ح-و-ل,1966,muḥāwala,,,
يَقِينٌ,Gewissheit,ي-ق-ن,1967,yaqīn,,,
جَاهٌ,Ansehen,ج-و-ه,1968,ǧāh,,,
عُقْدَةٌ,Knoten,ع-ق-د,1969,ʿuqda,,,
تَفْصِيلٌ,Detail / Ausführung,ف-ص-ل,1970,tafṣīl,,,
سُلُوكٌ,Verhalten,س-ل-ك,1971,sulūk,,,
قِرَاءَةٌ,Lesung / Rezitation,ق-ر-أ,1972,qirāʾa,,,
رُتْبَةٌ,Rang / Stufe,ر-ت-ب,1973,rutba,,,
حَرَارَةٌ,Hitze,ح-ر-ر,1974,ḥarāra,,,
تَفَاؤُلٌ,Optimismus / Zuversicht,ف-أ-ل,1975,tafāʾul,,,
عَادِلٌ,gerecht,ع-د-ل,1976,ʿādil,,,
جَرِيءٌ,kühn,ج-ر-أ,1977,ǧarīʾ,,,
صَبُورٌ,geduldig,ص-ب-ر,1978,ṣabūr,,,
شَكُورٌ,dankbar,ش-ك-ر,1979,šakūr,,,
خَصِبٌ,fruchtbar,خ-ص-ب,1980,ḫaṣib,,,
قَنُوعٌ,genügsam,ق-ن-ع,1981,qanūʿ,,,
عَسِرٌ,schwierig,ع-س-ر,1982,ʿasir,,,
مُتَحَمِّسٌ,begeistert,ح-م-س,1983,mutaḥammis,,,
مُتَوَاضِعٌ,bescheiden,و-ض-ع,1984,mutawāḍiʿ,,,
حَسُودٌ,neidisch,ح-س-د,1985,ḥasūd,,,
كَسُولٌ,faul,ك-س-ل,1986,kasūl,,,
بَهِيجٌ,strahlend / fröhlich,ب-ه-ج,1987,bahīǧ,,,
ظَرِيفٌ,witzig / fein,ظ-ر-ف,1988,ẓarīf,,,
رَحِيبٌ,gastlich / weit,ر-ح-ب,1989,raḥīb,,,
بَصِيرٌ,einsichtig / sehend,ب-ص-ر,1990,baṣīr,,,
مِضْيَافٌ,gastfreundlich,ض-ي-ف,1991,miḍyāf,,,
قُدَّامَ,vorn / davor,ق-د-م,1992,quddāma,,,
بَاكِرًا,früh,ب-ك-ر,1993,bākiran,,,
عِلَانًا,öffentlich,ع-ل-ن,1994,ʿilānan,,,
سِرًّا,heimlich,س-ر-ر,1995,sirran,,,
هُنَاكَ,dort,ه-ن-ك,1996,hunāka,,,
رُبَّمَا,vielleicht,ر-ب-م,1997,rubbamā,,,
