arabic,transliteration,german,root
تَكَوَّنَ,takawwana,entstehen / bestehen,ك-و-ن
تَلَاشَى,talāšā,verblassen / verschwinden,ل-ش-ي
تَهَاوَنَ,tahāwana,vernachlässigen,ه-و-ن
جَاوَزَ,ǧāwaza,überholen / überschreiten,ج-و-ز
حَاسَبَ,ḥāsaba,abrechnen,ح-س-ب
حَجَزَ,ḥaǧaza,reservieren,ح-ج-ز
خَلَّصَ,ḫallaṣa,retten / erlösen,خ-ل-ص
دَاوَمَ,dāwama,fortfahren,د-و-م
دَبَّرَ,dabbara,planen / verwalten,د-ب-ر
رَشَّحَ,raššaḥa,nominieren,ر-ش-ح
سَمَّى,sammā,nennen / benennen,س-م-ي
شَخَّصَ,šaḫḫaṣa,diagnostizieren / bestimmen,ش-خ-ص
شَرَّفَ,šarrafa,ehren,ش-ر-ف
صَرَّحَ,ṣarraḥa,erklären / ankündigen,ص-ر-ح
طَرَّحَ,ṭarraḥa,aufwerfen,ط-ر-ح
عَانَقَ,ʿānaqa,umarmen,ع-ن-ق
عَاهَدَ,ʿāhada,vereinbaren / verpflichten,ع-ه-د
قَابَلَ,qābala,treffen / vergleichen,ق-ب-ل
مَارَسَ,mārasa,ausüben / betreiben,م-ر-س
مَزَجَ,mazaǧa,mischen,م-ز-ج
نَتَجَ,nataǧa,hervorbringen,ن-ت-ج
وَرَّثَ,warraṯa,vererben,و-ر-ث
يَئِسَ,yaʾisa,verzweifeln,ي-أ-س
أَهْلٌ,ʾahl,Leute / Familie,أ-ه-ل
اِخْتِصَاصٌ,iḫtiṣāṣ,Fachgebiet,خ-ص-ص
اِنْتِظَارٌ,intiẓār,das Warten,ن-ظ-ر
تَعْلِيمٌ,taʿlīm,Bildung / Unterricht,ع-ل-م
تَطْبِيقٌ,taṭbīq,Anwendung,ط-ب-ق
تَفْسِيرٌ,tafsīr,Auslegung,ف-س-ر
جُمْهُورٌ,ǧumhūr,Publikum,ج-م-ه-ر
دِرَاسَةٌ,dirāsa,Studium,د-ر-س
رِعَايَةٌ,riʿāya,Fürsorge / Pflege,ر-ع-ي
سِعْرٌ,siʿr,Preis,س-ع-ر
شَرِيعَةٌ,šarīʿa,Glaubensgesetz / Scharia,ش-ر-ع
عِبَادَةٌ,ʿibāda,Gottesdienst / Anbetung,ع-ب-د
غَلَاءٌ,ġalāʾ,Teuerung,غ-ل-و
كَمِّيَّةٌ,kammiyya,Menge,ك-م-م
نَجَاحٌ,naǧāḥ,Erfolg,ن-ج-ح
هِمَّةٌ,himma,Ehrgeiz,ه-م-م
دَهْرٌ,dahr,Zeit / Zeitalter,د-ه-ر
ذُوقٌ,ḏawq,Geschmack,ذ-و-ق
شُعُورٌ,šuʿūr,Gefühl,ش-ع-ر
ضَحِيَّةٌ,ḍaḥiyya,Opfer,ض-ح-ي
عِبْرَةٌ,ʿibra,Lehre / Ermahnung,ع-ب-ر
كَلَامٌ,kalām,Rede / Sprache,ك-ل-م
مَبْنًى,mabnā,Gebäude,ب-ن-ي
وَطَنٌ,waṭan,Heimat,و-ط-ن
إِصْدَارٌ,ʾiṣdār,Ausgabe / Veröffentlichung,ص-د-ر
اِقْتِصَادٌ,iqtiṣād,Wirtschaft,ق-ص-د
اِعْتِرَاضٌ,iʿtirāḍ,Einwand,ع-ر-ض
اِسْتِعْمَالٌ,istiʿmāl,Nutzung / Gebrauch,ع-م-ل
اِنْتِخَابٌ,intiḫāb,Wahl / Auswahl,ن-خ-ب
مُسْتَشَارٌ,mustašār,Berater,ش-و-ر
مُلَخَّصٌ,mulaḫḫaṣ,Zusammenfassung,ل-خ-ص
عَقِيدَةٌ,ʿaqīda,Glaubenslehre / Überzeugung,ع-ق-د
ثِقَةٌ,ṯiqa,Vertrauen,و-ث-ق
حَمَاسَةٌ,ḥamāsa,Begeisterung,ح-م-س
اِمْتِدَادٌ,imtidād,Ausdehnung,م-د-د
جَرْحٌ,ǧarḥ,Wunde,ج-ر-ح
عُمْرٌ,ʿumr,Lebensalter,ع-م-ر
لُطْفٌ,luṭf,Güte / Milde,ل-ط-ف
مُحَاوَلَةٌ,muḥāwala,Versuch,ح-و-ل
يَقِينٌ,yaqīn,Gewissheit,ي-ق-ن
جَاهٌ,ǧāh,Ansehen,ج-و-ه
عُقْدَةٌ,ʿuqda,Knoten,ع-ق-د
عَادِلٌ,ʿādil,gerecht,ع-د-ل
جَرِيءٌ,ǧarīʾ,kühn,ج-ر-أ
صَبُورٌ,ṣabūr,geduldig,ص-ب-ر
شَكُورٌ,šakūr,dankbar,ش-ك-ر
خَصِبٌ,ḫaṣib,fruchtbar,خ-ص-ب
قَنُوعٌ,qanūʿ,genügsam,ق-ن-ع
عَسِرٌ,ʿasir,schwierig,ع-س-ر
مُتَحَمِّسٌ,mutaḥammis,begeistert,ح-م-س
مُتَوَاضِعٌ,mutawāḍiʿ,bescheiden,و-ض-ع
حَسُودٌ,ḥasūd,neidisch,ح-س-د
كَسُولٌ,kasūl,faul,ك-س-ل
بَهِيجٌ,bahīǧ,strahlend / fröhlich,ب-ه-ج
ظَرِيفٌ,ẓarīf,witzig / fein,ظ-ر-ف
قُدَّامَ,quddāma,vorn / davor,ق-د-م
بَاكِرًا,bākiran,früh,ب-ك-ر
عِلَانًا,ʿilānan,öffentlich,ع-ل-ن
سِرًّا,sirran,heimlich,س-ر-ر
هُنَاكَ,hunāka,dort,ه-ن-ك
رُبَّمَا,rubbamā,vielleicht,ر-ب-م
أَثْنَاءَ,aṯnāʾa,während,أ-ث-ن
رُغْمَ,ruġma,trotz,ر-غ-م
تَفْصِيلٌ,tafṣīl,Detail / Ausführung,ف-ص-ل
سُلُوكٌ,sulūk,Verhalten,س-ل-ك
قِرَاءَةٌ,qirāʾa,Lesung / Rezitation,ق-ر-أ
رُتْبَةٌ,rutba,Rang / Stufe,ر-ت-ب
حَرَارَةٌ,ḥarāra,Hitze,ح-ر-ر
رَحِيبٌ,raḥīb,gastlich / weit,ر-ح-ب
بَصِيرٌ,baṣīr,einsichtig / sehend,ب-ص-ر
مِضْيَافٌ,miḍyāf,gastfreundlich,ض-ي-ف
عَاجِلًا,ʿāǧilan,bald / eilig,ع-ج-ل
تَفَاؤُلٌ,tafāʾul,Optimismus / Zuversicht,ف-أ-ل
